,item_id,rank,price,del_price,rating,rating_count,time,coupon,real_price
0,3105520,1,111200,139000,99.0,22,2023-04-25T22:38,-16680,94520
1,1763157,2,49400,52000,95.0,2931,2023-04-25T22:38,0,49400
2,2272830,3,35910,39900,97.0,20819,2023-04-25T22:38,-7182,28728
3,3242956,4,96000,0,0.0,0,2023-04-25T22:38,-4800,91200
4,3242950,5,96000,0,100.0,2,2023-04-25T22:38,-4800,91200
5,3242941,6,96000,0,0.0,0,2023-04-25T22:38,-4800,91200
6,3086682,7,106200,125000,94.0,36,2023-04-25T22:38,0,106200
7,3201923,8,87200,109000,0.0,0,2023-04-25T22:38,-13080,74120
8,1848166,9,44100,49000,97.0,41619,2023-04-25T22:38,-4410,39690
9,345889,10,29900,47900,96.0,10447,2023-04-25T22:38,0,29900
10,3214271,11,47778,82000,98.0,123,2023-04-25T22:38,-4778,43000
11,2442409,12,27300,78000,96.0,9345,2023-04-25T22:38,0,27300
12,1921901,13,36900,70500,96.0,7779,2023-04-25T22:38,0,36900
13,3243424,14,98000,0,0.0,0,2023-04-25T22:38,0,98000
14,2086653,15,16900,0,97.0,40948,2023-04-25T22:38,0,16900
15,1944612,16,35800,59700,97.0,3180,2023-04-25T22:38,0,35800
16,2479911,17,49400,76000,97.0,4643,2023-04-25T22:38,-2470,46930
17,3214275,18,47778,82000,98.0,246,2023-04-25T22:38,-4778,43000
18,1939099,19,31850,49000,97.0,12149,2023-04-25T22:38,-6370,25480
19,3124809,20,65550,69000,100.0,9,2023-04-25T22:38,0,65550
20,2646350,21,59800,94000,95.0,5061,2023-04-25T22:38,-5980,53820
21,1620270,22,189000,0,96.0,99,2023-04-25T22:38,0,189000
22,3043740,23,49700,59000,98.0,36,2023-04-25T22:38,-2485,47215
23,2285512,24,49400,52000,96.0,1850,2023-04-25T22:38,-2470,46930
24,3204179,25,49900,0,100.0,30,2023-04-25T22:38,0,49900
25,3046818,26,39560,46000,97.0,81,2023-04-25T22:38,-3956,35604
26,2453556,27,39900,42000,97.0,6474,2023-04-25T22:38,0,39900
27,1884943,28,27900,39000,96.0,19131,2023-04-25T22:38,-4185,23715
28,3105468,29,63200,79000,98.0,144,2023-04-25T22:38,0,63200
29,1763123,30,84550,89000,96.0,1708,2023-04-25T22:38,0,84550
30,3046771,31,39560,46000,98.0,140,2023-04-25T22:38,-3956,35604
31,2034137,32,31800,0,97.0,18324,2023-04-25T22:38,-4770,27030
