,item_id,rank,price,del_price,rating,rating_count,time,coupon,real_price
0,3257423,1,69300,99000,0.0,0,2023-04-28T00:25,0,69300
1,3105468,2,63200,79000,98.0,151,2023-04-28T00:25,0,63200
2,3163734,3,63200,79000,98.0,164,2023-04-28T00:25,0,63200
3,1848797,4,169000,0,96.0,116,2023-04-28T00:25,0,169000
4,2272830,5,35910,39900,97.0,21069,2023-04-28T00:25,-7182,28728
5,1763157,6,49300,52000,95.0,3005,2023-04-28T00:25,0,49300
6,3105527,7,111200,139000,96.0,16,2023-04-28T00:25,-16680,94520
7,1848166,8,34300,49000,97.0,41710,2023-04-28T00:25,-3430,30870
8,3163735,9,63200,79000,100.0,34,2023-04-28T00:25,0,63200
9,2442409,10,27300,78000,96.0,9451,2023-04-28T00:25,0,27300
10,3105470,11,63200,79000,98.0,91,2023-04-28T00:25,0,63200
11,345889,12,29900,47900,96.0,10578,2023-04-28T00:25,0,29900
12,3105520,13,111200,139000,98.0,34,2023-04-28T00:25,-16680,94520
13,3163733,14,63200,79000,98.0,35,2023-04-28T00:25,0,63200
14,3163730,15,63200,79000,99.0,40,2023-04-28T00:25,0,63200
15,1201421,16,199000,0,95.0,158,2023-04-28T00:25,0,199000
16,3204179,17,49900,0,98.0,71,2023-04-28T00:25,0,49900
17,1921901,18,36900,70500,96.0,7794,2023-04-28T00:25,0,36900
18,2645415,19,55300,79000,98.0,358,2023-04-28T00:25,0,55300
19,3163729,20,63200,79000,97.0,41,2023-04-28T00:25,0,63200
20,2381749,21,90300,129000,98.0,1062,2023-04-28T00:25,0,90300
21,2086653,22,16900,0,97.0,41130,2023-04-28T00:25,0,16900
22,3187851,23,49900,110000,96.0,452,2023-04-28T00:25,-4990,44910
23,1939099,24,31850,49000,97.0,12224,2023-04-28T00:25,-6370,25480
24,1944612,25,35800,59700,97.0,3221,2023-04-28T00:25,0,35800
25,3105406,26,109650,129000,94.0,11,2023-04-28T00:25,0,109650
26,3214280,27,47778,82000,98.0,400,2023-04-28T00:25,-4778,43000
27,2479911,28,49400,76000,97.0,4715,2023-04-28T00:25,-2470,46930
28,1884943,29,27900,39000,96.0,19206,2023-04-28T00:25,-4185,23715
29,2575342,30,39900,59000,96.0,1024,2023-04-28T00:25,-3990,35910
30,3214271,31,47778,82000,98.0,242,2023-04-28T00:25,-4778,43000
31,2285512,32,49300,52000,96.0,1905,2023-04-28T00:25,-2465,46835
32,3043740,33,49700,59000,98.0,83,2023-04-28T00:25,-2485,47215
33,3219911,34,69900,118000,96.0,73,2023-04-28T00:25,-6990,62910
34,1882578,35,35910,39900,97.0,10914,2023-04-28T00:25,-7182,28728
35,3201923,36,87200,109000,100.0,6,2023-04-28T00:25,-13080,74120
36,1899755,37,27900,39000,96.0,5170,2023-04-28T00:25,-4185,23715
37,3214275,38,47778,82000,98.0,404,2023-04-28T00:25,-4778,43000
38,3134406,39,53910,59900,99.0,317,2023-04-28T00:25,-10782,43128
39,3046771,40,39560,46000,98.0,188,2023-04-28T00:25,0,39560
40,2462040,41,38000,45000,95.0,4101,2023-04-28T00:25,-5700,32300
41,2646350,42,59800,94000,95.0,5163,2023-04-28T00:25,-5980,53820
42,1498105,43,189000,0,97.0,2105,2023-04-28T00:25,0,189000
43,2453556,44,39900,42000,97.0,6521,2023-04-28T00:25,0,39900
44,3042516,45,42000,65000,96.0,251,2023-04-28T00:25,-4200,37800
45,3064420,46,61500,69000,98.0,163,2023-04-28T00:25,-3075,58425
46,3143791,47,45900,68000,97.0,839,2023-04-28T00:25,-9180,36720
47,2034137,48,31800,0,97.0,18491,2023-04-28T00:25,-4770,27030
48,2398380,49,27000,45000,96.0,1854,2023-04-28T00:25,-2700,24300
49,3214285,50,47778,82000,98.0,531,2023-04-28T00:25,-4778,43000
50,2913659,51,47900,64000,96.0,404,2023-04-28T00:25,-9580,38320
51,2377269,52,45000,0,97.0,4356,2023-04-28T00:25,0,45000
52,1763123,53,80100,89000,96.0,1718,2023-04-28T00:25,0,80100
53,2409894,54,27300,78000,97.0,5335,2023-04-28T00:25,0,27300
54,3242956,55,96000,0,96.0,12,2023-04-28T00:25,-4800,91200
55,3163719,56,119000,0,100.0,13,2023-04-28T00:25,0,119000
56,3129117,57,45000,0,98.0,79,2023-04-28T00:25,-4500,40500
57,1503352,58,39900,42000,97.0,8604,2023-04-28T00:25,0,39900
58,2623779,59,88200,98000,98.0,113,2023-04-28T00:25,0,88200
59,1842348,60,79200,99000,96.0,3069,2023-04-28T00:25,-11880,67320
60,2015684,61,39000,0,94.0,6552,2023-04-28T00:25,0,39000
61,2032985,62,89250,119000,97.0,1904,2023-04-28T00:25,0,89250
62,3176118,63,65550,69000,97.0,109,2023-04-28T00:25,-9833,55717
63,1779737,64,20800,32000,96.0,7547,2023-04-28T00:25,-3120,17680
64,2560614,65,97300,139000,97.0,733,2023-04-28T00:25,0,97300
65,2149254,66,37800,0,97.0,34762,2023-04-28T00:25,-5670,32130
66,3214283,67,47778,82000,98.0,294,2023-04-28T00:25,-4778,43000
67,3105517,68,63200,79000,98.0,54,2023-04-28T00:25,0,63200
68,3070584,69,58000,0,97.0,78,2023-04-28T00:25,0,58000
69,2364807,70,219000,0,96.0,747,2023-04-28T00:25,0,219000
70,2376233,71,32400,36000,97.0,2355,2023-04-28T00:25,0,32400
71,2426596,72,34400,43000,96.0,3075,2023-04-28T00:25,-5160,29240
72,1836749,73,119000,0,95.0,27,2023-04-28T00:25,0,119000
73,3125099,74,29900,39000,96.0,43,2023-04-28T00:25,-5980,23920
74,2560619,75,97300,139000,97.0,372,2023-04-28T00:25,0,97300
75,3258047,76,48000,0,0.0,0,2023-04-28T00:25,0,48000
76,2461377,77,169000,0,96.0,356,2023-04-28T00:25,0,169000
77,3242950,78,96000,0,100.0,15,2023-04-28T00:25,-4800,91200
78,2370575,79,29250,39000,95.0,934,2023-04-28T00:25,0,29250
79,1955452,80,39800,69990,95.0,2813,2023-04-28T00:25,0,39800
80,2381748,81,90300,129000,97.0,536,2023-04-28T00:25,0,90300
81,1336398,82,33500,67000,96.0,19284,2023-04-28T00:25,-6700,26800
82,1005683,83,14000,35000,95.0,11227,2023-04-28T00:25,0,14000
83,2376229,84,32400,36000,97.0,4007,2023-04-28T00:25,0,32400
84,996177,85,15900,0,95.0,78232,2023-04-28T00:25,0,15900
85,994588,86,39900,53000,94.0,6218,2023-04-28T00:25,-7980,31920
86,1954330,87,27200,32000,96.0,275,2023-04-28T00:25,0,27200
87,3046818,88,39560,46000,98.0,136,2023-04-28T00:25,0,39560
88,1846930,89,17500,39000,96.0,8487,2023-04-28T00:25,0,17500
89,3129723,90,31200,39000,97.0,135,2023-04-28T00:25,-4680,26520
90,3010527,1,237150,279000,97.0,298,2023-04-28T00:25,0,237150
91,1558197,2,69590,81900,97.0,33198,2023-04-28T00:25,0,69590
92,1778404,3,39000,45000,96.0,68648,2023-04-28T00:25,-5850,33150
93,3162829,4,660000,0,0.0,0,2023-04-28T00:25,0,660000
94,2723218,5,69900,85900,97.0,3196,2023-04-28T00:25,-10485,59415
95,2718414,6,134100,149000,97.0,878,2023-04-28T00:25,0,134100
96,3162818,7,520000,0,0.0,0,2023-04-28T00:25,0,520000
97,3010431,8,159000,0,97.0,164,2023-04-28T00:25,0,159000
98,3010524,9,237150,279000,99.0,85,2023-04-28T00:25,0,237150
99,1283757,10,71290,83900,96.0,26992,2023-04-28T00:25,0,71290
100,1856181,11,35910,39900,97.0,8633,2023-04-28T00:25,-7182,28728
101,2381781,12,186750,249000,98.0,880,2023-04-28T00:25,0,186750
102,2329532,13,119200,149000,97.0,4164,2023-04-28T00:25,0,119200
103,2718413,14,134100,149000,97.0,1510,2023-04-28T00:25,0,134100
104,2683549,15,111750,149000,97.0,2658,2023-04-28T00:25,0,111750
105,1776552,16,59000,69000,94.0,6315,2023-04-28T00:25,-8850,50150
106,2343198,17,119000,129000,97.0,5382,2023-04-28T00:25,-17850,101150
107,1790383,18,54700,86000,95.0,5975,2023-04-28T00:25,-8205,46495
108,3012082,19,59900,79000,96.0,1325,2023-04-28T00:25,0,59900
109,1571879,20,79900,112900,96.0,7305,2023-04-28T00:25,0,79900
110,1737051,21,62300,89000,96.0,5213,2023-04-28T00:25,-12460,49840
111,1139192,22,66400,94900,97.0,14567,2023-04-28T00:25,-9960,56440
112,1108007,23,67890,79900,95.0,48053,2023-04-28T00:25,0,67890
113,1778408,24,39000,45000,95.0,12003,2023-04-28T00:25,-5850,33150
114,2471405,25,89000,138000,97.0,2260,2023-04-28T00:25,0,89000
115,3125671,26,148000,0,98.0,34,2023-04-28T00:25,0,148000
116,2357957,27,111750,149000,97.0,2281,2023-04-28T00:25,0,111750
117,2732486,28,99000,179000,98.0,866,2023-04-28T00:25,0,99000
118,3029811,29,63200,79000,96.0,350,2023-04-28T00:25,-12640,50560
119,3054935,30,89900,0,96.0,118,2023-04-28T00:25,0,89900
120,2061715,31,79900,105000,97.0,2881,2023-04-28T00:25,0,79900
121,2288426,32,69000,109000,94.0,879,2023-04-28T00:25,-10350,58650
122,1558683,33,69590,81900,97.0,6384,2023-04-28T00:25,0,69590
