,item_id,rank,price,del_price,rating,rating_count,time,coupon,real_price
0,1848166,1,34300,49000,97.0,41857,2023-05-01T21:08,0,34300
1,2442409,2,27300,78000,96.0,9603,2023-05-01T21:08,0,27300
2,1763157,3,49300,52000,96.0,3128,2023-05-01T21:08,0,49300
3,2272830,4,35910,39900,97.0,21412,2023-05-01T21:08,-7182,28728
4,3187851,5,49900,110000,96.0,505,2023-05-01T21:08,-4990,44910
5,1921901,6,36900,70500,96.0,7933,2023-05-01T21:08,0,36900
6,3143791,7,45900,68000,97.0,1108,2023-05-01T21:08,-6885,39015
7,2285512,8,49300,52000,96.0,1966,2023-05-01T21:08,-2465,46835
8,3105468,9,63200,79000,98.0,162,2023-05-01T21:08,0,63200
9,2575342,10,39900,59000,96.0,1078,2023-05-01T21:08,-5985,33915
10,1944612,11,35800,59700,97.0,3308,2023-05-01T21:08,0,35800
11,345889,12,29900,47900,96.0,10730,2023-05-01T21:08,0,29900
12,1884943,13,27900,39000,96.0,19278,2023-05-01T21:08,0,27900
13,3204179,14,49900,0,98.0,128,2023-05-01T21:08,0,49900
14,2646350,15,59800,94000,95.0,5342,2023-05-01T21:08,-5980,53820
15,3219911,16,69900,118000,97.0,99,2023-05-01T21:08,-10485,59415
16,3046771,17,34960,46000,98.0,253,2023-05-01T21:08,0,34960
17,1763123,18,80100,89000,96.0,1738,2023-05-01T21:08,0,80100
18,1899755,19,27900,39000,96.0,5221,2023-05-01T21:08,0,27900
19,2086653,20,16900,0,97.0,41433,2023-05-01T21:08,0,16900
20,2479911,21,49400,76000,97.0,4806,2023-05-01T21:08,-2470,46930
21,3259338,22,88200,98000,100.0,1,2023-05-01T21:08,0,88200
22,3043740,23,49700,59000,98.0,116,2023-05-01T21:08,-2485,47215
23,3265079,24,42000,0,97.0,132,2023-05-01T21:08,0,42000
24,2462040,25,38000,45000,95.0,4148,2023-05-01T21:08,0,38000
25,2398380,26,27000,45000,96.0,1957,2023-05-01T21:08,0,27000
26,1939099,27,31850,49000,97.0,12339,2023-05-01T21:08,-6370,25480
27,2376229,28,32400,36000,97.0,4047,2023-05-01T21:08,0,32400
28,1882578,29,35910,39900,97.0,11127,2023-05-01T21:08,-7182,28728
29,2376233,30,32400,36000,97.0,2393,2023-05-01T21:08,0,32400
30,2453556,31,39900,42000,97.0,6584,2023-05-01T21:08,0,39900
31,2409894,32,27300,78000,97.0,5427,2023-05-01T21:08,0,27300
32,3214271,33,49200,82000,98.0,399,2023-05-01T21:08,0,49200
33,2645415,34,55300,79000,98.0,397,2023-05-01T21:08,0,55300
34,1706633,35,199000,0,97.0,2531,2023-05-01T21:08,0,199000
35,2034137,36,31800,0,97.0,18757,2023-05-01T21:08,-4770,27030
36,1779737,37,20800,32000,96.0,7629,2023-05-01T21:08,0,20800
37,3227259,38,39900,45000,97.0,9,2023-05-01T21:08,-11970,27930
38,994588,39,39900,53000,94.0,6248,2023-05-01T21:08,-7980,31920
39,2996536,40,39900,59000,96.0,916,2023-05-01T21:08,-5985,33915
40,1336398,41,33500,67000,96.0,19318,2023-05-01T21:08,-6700,26800
41,2623779,42,88200,98000,97.0,147,2023-05-01T21:08,0,88200
42,3201923,43,87200,109000,100.0,9,2023-05-01T21:08,-13080,74120
43,2630449,44,29400,42000,96.0,698,2023-05-01T21:08,0,29400
44,1763218,45,80100,89000,96.0,1573,2023-05-01T21:08,0,80100
45,2015684,46,39000,0,94.0,6580,2023-05-01T21:08,0,39000
46,1503352,47,39900,42000,97.0,8649,2023-05-01T21:08,0,39900
47,3257423,48,69300,99000,0.0,0,2023-05-01T21:08,0,69300
48,3070584,49,58000,0,97.0,89,2023-05-01T21:08,0,58000
49,3157193,50,39000,0,95.0,91,2023-05-01T21:08,0,39000
50,3211815,51,24500,35000,97.0,122,2023-05-01T21:08,-4900,19600
51,2326935,52,47400,79000,96.0,13241,2023-05-01T21:08,-7110,40290
52,2368712,53,38700,43000,97.0,5752,2023-05-01T21:08,-7740,30960
53,1848797,54,169000,0,97.0,149,2023-05-01T21:08,0,169000
54,3133235,55,32500,50000,96.0,106,2023-05-01T21:08,-4875,27625
55,2364807,56,219000,0,96.0,764,2023-05-01T21:08,0,219000
56,3132776,57,27900,43000,98.0,48,2023-05-01T21:08,0,27900
57,1934937,58,38700,43000,97.0,829,2023-05-01T21:08,-7740,30960
58,3129723,59,31200,39000,97.0,184,2023-05-01T21:08,-4680,26520
59,3074122,60,33150,39000,97.0,178,2023-05-01T21:08,-3315,29835
60,2461377,61,169000,0,96.0,359,2023-05-01T21:08,0,169000
61,3105470,62,63200,79000,98.0,127,2023-05-01T21:08,0,63200
62,2426596,63,34400,43000,96.0,3095,2023-05-01T21:08,0,34400
63,2377269,64,45000,0,97.0,4423,2023-05-01T21:08,0,45000
64,1842348,65,79200,99000,96.0,3084,2023-05-01T21:08,-11880,67320
65,2456003,66,54900,82900,94.0,2353,2023-05-01T21:08,0,54900
66,3174960,67,69900,87900,97.0,16,2023-05-01T21:08,0,69900
67,3206068,68,52900,74000,98.0,784,2023-05-01T21:08,-2645,50255
68,1742666,69,46900,66000,96.0,4121,2023-05-01T21:08,-7035,39865
69,3176118,70,69000,0,97.0,141,2023-05-01T21:08,-10350,58650
70,3042516,71,42000,65000,96.0,299,2023-05-01T21:08,-6300,35700
71,1955452,72,39800,69990,95.0,2842,2023-05-01T21:08,0,39800
72,3214275,73,49200,82000,98.0,602,2023-05-01T21:08,0,49200
73,996177,74,15900,0,95.0,78372,2023-05-01T21:08,0,15900
74,3241797,75,69700,118000,98.0,15,2023-05-01T21:08,-10455,59245
75,3132887,76,27900,43000,98.0,142,2023-05-01T21:08,0,27900
76,3064420,77,61500,69000,98.0,196,2023-05-01T21:08,-3075,58425
77,1820701,78,31500,35000,97.0,5677,2023-05-01T21:08,0,31500
78,2375962,79,59000,62000,98.0,6087,2023-05-01T21:08,0,59000
79,2471760,80,27300,39000,97.0,6720,2023-05-01T21:08,0,27300
80,1782647,81,39900,42000,97.0,3664,2023-05-01T21:08,0,39900
81,2445758,82,59700,0,98.0,1445,2023-05-01T21:08,0,59700
82,1911516,83,48900,81900,95.0,6258,2023-05-01T21:08,0,48900
83,3162396,84,38700,43000,96.0,31,2023-05-01T21:08,0,38700
84,1846930,85,17500,39000,96.0,8547,2023-05-01T21:08,0,17500
85,2913659,86,47900,64000,96.0,433,2023-05-01T21:08,-9580,38320
86,3046818,87,34960,46000,98.0,168,2023-05-01T21:08,0,34960
87,3129117,88,45000,0,98.0,123,2023-05-01T21:08,0,45000
88,2462039,89,38000,45000,97.0,1607,2023-05-01T21:08,0,38000
89,2453552,90,39900,42000,97.0,3180,2023-05-01T21:08,0,39900
90,1778404,1,39000,45000,96.0,68908,2023-05-01T21:08,-3900,35100
91,3033083,2,69760,109000,97.0,104,2023-05-01T21:08,-20928,48832
92,2061715,3,79900,105000,97.0,2924,2023-05-01T21:08,0,79900
93,2329532,4,129630,149000,97.0,4216,2023-05-01T21:08,0,129630
94,1558197,5,69590,81900,97.0,33380,2023-05-01T21:08,0,69590
95,3012082,6,59900,79000,96.0,1394,2023-05-01T21:08,-8985,50915
96,2723218,7,69900,85900,97.0,3354,2023-05-01T21:08,-10485,59415
97,3046899,8,79900,105000,96.0,194,2023-05-01T21:08,-23970,55930
98,1856181,9,35910,39900,97.0,8963,2023-05-01T21:08,-7182,28728
99,1776552,10,59000,69000,94.0,6341,2023-05-01T21:08,-8850,50150
100,2329533,11,129630,149000,97.0,1461,2023-05-01T21:08,0,129630
101,1790383,12,54700,86000,95.0,6072,2023-05-01T21:08,-8205,46495
102,1571879,13,79900,112900,96.0,7342,2023-05-01T21:08,-11985,67915
103,2934225,14,2394000,2520000,0.0,0,2023-05-01T21:08,0,2394000
104,1283757,15,71290,83900,96.0,27046,2023-05-01T21:08,0,71290
105,1139192,16,66400,94900,97.0,14605,2023-05-01T21:08,-9960,56440
106,2732486,17,99000,179000,98.0,907,2023-05-01T21:08,0,99000
