,item_id,rank,price,del_price,rating,rating_count,time,coupon,real_price
0,1848797,1,169000,0,96.0,112,2023-04-26T21:42,0,169000
1,3214283,2,47778,82000,98.0,242,2023-04-26T21:42,-4778,43000
2,3214280,3,47778,82000,98.0,307,2023-04-26T21:42,-4778,43000
3,3214285,4,47778,82000,98.0,457,2023-04-26T21:42,-4778,43000
4,3143791,5,45900,68000,97.0,794,2023-04-26T21:42,-9180,36720
5,2272830,6,35910,39900,97.0,20922,2023-04-26T21:42,-7182,28728
6,1763157,7,49300,52000,95.0,2960,2023-04-26T21:42,0,49300
7,3204179,8,49900,0,100.0,41,2023-04-26T21:42,0,49900
8,3214271,9,47778,82000,98.0,143,2023-04-26T21:42,-4778,43000
9,1848166,10,39000,49000,97.0,41670,2023-04-26T21:42,-3900,35100
10,3201923,11,87200,109000,0.0,0,2023-04-26T21:42,-13080,74120
11,3105468,12,55300,79000,98.0,146,2023-04-26T21:42,0,55300
12,345889,13,29900,47900,95.0,10504,2023-04-26T21:42,0,29900
13,3214275,14,47778,82000,98.0,296,2023-04-26T21:42,-4778,43000
14,3214281,15,47778,82000,98.0,233,2023-04-26T21:42,-4778,43000
15,2442409,16,27300,78000,96.0,9394,2023-04-26T21:42,0,27300
16,3105520,17,97300,139000,99.0,23,2023-04-26T21:42,-14595,82705
17,1944612,18,35800,59700,97.0,3203,2023-04-26T21:42,0,35800
18,1939099,19,31850,49000,97.0,12173,2023-04-26T21:42,-6370,25480
19,1921901,20,36900,70500,96.0,7782,2023-04-26T21:42,0,36900
20,2086653,21,16900,0,97.0,41024,2023-04-26T21:42,0,16900
21,1201421,22,199000,0,95.0,157,2023-04-26T21:42,0,199000
22,1706633,23,199000,0,97.0,2510,2023-04-26T21:42,0,199000
23,3043740,24,49700,59000,98.0,56,2023-04-26T21:42,-2485,47215
24,3086682,25,106200,125000,94.0,39,2023-04-26T21:42,0,106200
25,1882578,26,35910,39900,97.0,10837,2023-04-26T21:42,-7182,28728
26,2479911,27,49400,76000,97.0,4683,2023-04-26T21:42,-2470,46930
27,1884943,28,27900,39000,96.0,19155,2023-04-26T21:42,-4185,23715
28,2285512,29,49300,52000,96.0,1862,2023-04-26T21:42,-2465,46835
29,3143783,30,39900,59000,100.0,4,2023-04-26T21:42,-7980,31920
30,3242956,31,96000,0,0.0,0,2023-04-26T21:42,-4800,91200
31,1899755,32,27900,39000,96.0,5142,2023-04-26T21:42,-4185,23715
32,2646350,33,59800,94000,95.0,5109,2023-04-26T21:42,-5980,53820
33,2034137,34,31800,0,97.0,18389,2023-04-26T21:42,-4770,27030
34,3214284,35,47778,82000,96.0,130,2023-04-26T21:42,-4778,43000
35,3046818,36,39560,46000,98.0,116,2023-04-26T21:42,0,39560
36,3242950,37,96000,0,100.0,8,2023-04-26T21:42,-4800,91200
37,1763123,38,80100,89000,96.0,1709,2023-04-26T21:42,0,80100
38,2454238,39,97200,108000,97.0,1713,2023-04-26T21:42,-14580,82620
39,3187851,40,49900,110000,96.0,436,2023-04-26T21:42,-4990,44910
40,3046771,41,39560,46000,98.0,158,2023-04-26T21:42,0,39560
41,1842348,42,79200,99000,96.0,3062,2023-04-26T21:42,-15840,63360
42,3105527,43,97300,139000,95.0,14,2023-04-26T21:42,-14595,82705
43,3214274,44,47778,82000,97.0,145,2023-04-26T21:42,-4778,43000
44,2453556,45,39900,42000,97.0,6496,2023-04-26T21:42,0,39900
45,2015684,46,39000,0,94.0,6545,2023-04-26T21:42,0,39000
46,2398380,47,27000,45000,96.0,1772,2023-04-26T21:42,-2700,24300
47,2623779,48,88200,98000,99.0,94,2023-04-26T21:42,0,88200
48,2409894,49,27300,78000,97.0,5310,2023-04-26T21:42,0,27300
49,2462040,50,38000,45000,95.0,4080,2023-04-26T21:42,-5700,32300
50,3124809,51,65550,69000,100.0,9,2023-04-26T21:42,0,65550
51,1836749,52,119000,0,95.0,26,2023-04-26T21:42,0,119000
52,3129117,53,45000,0,99.0,60,2023-04-26T21:42,-4500,40500
53,3214276,54,37778,69000,99.0,164,2023-04-26T21:42,-3778,34000
54,1763218,55,80100,89000,96.0,1552,2023-04-26T21:42,0,80100
55,3141117,56,109000,0,100.0,1,2023-04-26T21:42,-16350,92650
56,2377269,57,45000,0,97.0,4330,2023-04-26T21:42,0,45000
57,2376229,58,32400,36000,97.0,3982,2023-04-26T21:42,0,32400
58,3134405,59,44910,49900,99.0,386,2023-04-26T21:42,-8982,35928
59,1005683,60,14000,35000,95.0,11178,2023-04-26T21:42,0,14000
60,2913659,61,47900,64000,96.0,393,2023-04-26T21:42,-9580,38320
61,3227697,62,47778,82000,98.0,16,2023-04-26T21:42,-4778,43000
62,2375962,63,59000,62000,98.0,5957,2023-04-26T21:42,0,59000
63,3179497,64,35910,39900,99.0,170,2023-04-26T21:42,-7182,28728
64,1955452,65,39800,69990,95.0,2787,2023-04-26T21:42,0,39800
65,3180244,66,59900,90000,97.0,42,2023-04-26T21:42,-11980,47920
66,1848806,67,169000,0,97.0,27,2023-04-26T21:42,0,169000
67,1336398,68,33500,67000,96.0,19265,2023-04-26T21:42,-5025,28475
68,1503352,69,39900,42000,97.0,8588,2023-04-26T21:42,0,39900
69,2426596,70,34400,43000,96.0,3065,2023-04-26T21:42,-5160,29240
70,2575342,71,39900,59000,96.0,1009,2023-04-26T21:42,-3990,35910
71,1620270,72,189000,0,96.0,100,2023-04-26T21:42,0,189000
72,2149254,73,37800,0,97.0,34671,2023-04-26T21:42,-5670,32130
73,2392759,74,39900,49600,95.0,4307,2023-04-26T21:42,-5985,33915
74,2376233,75,32400,36000,97.0,2340,2023-04-26T21:42,0,32400
75,3211815,76,24500,35000,98.0,78,2023-04-26T21:42,-4900,19600
76,3125099,77,29900,39000,94.0,26,2023-04-26T21:42,-5980,23920
77,994588,78,39900,53000,94.0,6209,2023-04-26T21:42,-7980,31920
78,2313388,79,68000,85000,96.0,2307,2023-04-26T21:42,0,68000
79,1031260,80,33600,42000,96.0,13294,2023-04-26T21:42,0,33600
80,996177,81,15900,0,95.0,78171,2023-04-26T21:42,0,15900
81,3214277,82,37778,69000,98.0,126,2023-04-26T21:42,-3778,34000
82,3214282,83,47778,82000,98.0,131,2023-04-26T21:42,-4778,43000
83,2305840,84,59700,0,97.0,4163,2023-04-26T21:42,0,59700
84,2406919,85,199000,0,96.0,521,2023-04-26T21:42,0,199000
85,1820701,86,31500,35000,97.0,5648,2023-04-26T21:42,0,31500
86,2032985,87,83300,119000,97.0,1897,2023-04-26T21:42,0,83300
87,3129723,88,31200,39000,97.0,122,2023-04-26T21:42,-4680,26520
88,3143788,89,29900,34000,100.0,29,2023-04-26T21:42,-4485,25415
89,2461377,90,169000,0,96.0,356,2023-04-26T21:42,0,169000
90,1558197,1,69590,81900,97.0,33144,2023-04-26T21:42,0,69590
91,1778404,2,39000,45000,96.0,68549,2023-04-26T21:42,-5850,33150
92,2329532,3,119200,149000,97.0,4146,2023-04-26T21:42,0,119200
93,2723218,4,69900,85900,97.0,3118,2023-04-26T21:42,-10485,59415
94,1856181,5,35910,39900,97.0,8457,2023-04-26T21:42,-7182,28728
95,3012082,6,59900,79000,96.0,1302,2023-04-26T21:42,0,59900
96,1571879,7,79900,112900,96.0,7293,2023-04-26T21:42,0,79900
97,1283757,8,71290,83900,96.0,26978,2023-04-26T21:42,0,71290
98,1776552,9,59000,69000,94.0,6299,2023-04-26T21:42,-8850,50150
99,3054935,10,89900,0,96.0,113,2023-04-26T21:42,0,89900
100,1790383,11,54700,86000,95.0,5944,2023-04-26T21:42,-8205,46495
101,1139192,12,66400,94900,97.0,14563,2023-04-26T21:42,-9960,56440
102,2732486,13,99000,179000,98.0,860,2023-04-26T21:42,0,99000
103,2375909,14,76390,89900,98.0,1680,2023-04-26T21:42,0,76390
104,2184466,15,359000,0,98.0,34,2023-04-26T21:42,0,359000
105,1683384,16,599000,0,99.0,27,2023-04-26T21:42,0,599000
106,1108007,17,67890,79900,95.0,48044,2023-04-26T21:42,0,67890
107,2343198,18,119000,129000,97.0,5350,2023-04-26T21:42,-17850,101150
