,item_id,rank,price,del_price,rating,rating_count,time,coupon,real_price
0,3175768,1,49500,66000,0.0,0,2023-04-10T21:35,-4950,44550
1,3175651,2,39600,55000,0.0,0,2023-04-10T21:35,-3960,35640
2,2272830,3,35910,39900,97.0,19510,2023-04-10T21:35,-3591,32319
3,1848166,4,44100,49000,97.0,41133,2023-04-10T21:35,0,44100
4,1706634,5,199000,0,97.0,1553,2023-04-10T21:35,0,199000
5,3010415,6,219000,0,97.0,39,2023-04-10T21:35,0,219000
6,2086653,7,16900,0,97.0,39758,2023-04-10T21:35,0,16900
7,2442409,8,39000,78000,96.0,8980,2023-04-10T21:35,-5850,33150
8,345889,9,29900,47900,95.0,9913,2023-04-10T21:35,0,29900
9,1498103,10,199000,0,96.0,869,2023-04-10T21:35,0,199000
10,2646350,11,59800,94000,95.0,4310,2023-04-10T21:35,-5980,53820
11,1706633,12,199000,0,97.0,2408,2023-04-10T21:35,0,199000
12,1882578,13,35910,39900,97.0,9714,2023-04-10T21:35,0,35910
13,2377269,14,38250,45000,97.0,3962,2023-04-10T21:35,0,38250
14,1763157,15,44200,52000,95.0,2659,2023-04-10T21:35,0,44200
15,3176119,16,69000,0,0.0,0,2023-04-10T21:35,0,69000
16,2612829,17,44900,67900,97.0,1731,2023-04-10T21:35,-8980,35920
17,3105468,18,67150,79000,98.0,60,2023-04-10T21:35,0,67150
18,2479911,19,49400,76000,97.0,4313,2023-04-10T21:35,0,49400
19,3187851,20,49900,110000,99.0,143,2023-04-10T21:35,0,49900
20,3176118,21,69000,0,100.0,3,2023-04-10T21:35,0,69000
21,1921901,22,36900,70500,96.0,7626,2023-04-10T21:35,0,36900
22,3148953,23,219000,0,100.0,6,2023-04-10T21:35,0,219000
23,2313388,24,68000,85000,96.0,2145,2023-04-10T21:35,-13600,54400
24,2996536,25,39900,59000,96.0,564,2023-04-10T21:35,-7980,31920
25,2392759,26,39900,49600,95.0,4071,2023-04-10T21:35,-3990,35910
26,3175869,27,54000,72000,0.0,0,2023-04-10T21:35,-5400,48600
27,2491348,28,19800,0,96.0,3856,2023-04-10T21:35,0,19800
28,2149254,29,37800,0,97.0,33551,2023-04-10T21:35,-5670,32130
29,1884943,30,29900,39000,96.0,18934,2023-04-10T21:35,0,29900
30,1939099,31,24500,49000,97.0,11795,2023-04-10T21:35,-2450,22050
